Age,Gender,ImpComercial,ImpSomeonesHouse,ImpWhenCook,Cluster
27,1,5,5,5,4
22,0,5,4,5,1
28,1,5,2,4,0
22,1,5,5,5,4
31,1,5,4,4,0
33,1,5,3,3,0
32,1,5,4,4,0
15,1,5,3,5,0
27,1,5,4,4,0
41,1,5,5,5,3
25,1,5,5,5,4
22,1,5,3,4,0
18,1,4,3,4,2
29,1,5,4,5,4
24,1,4,3,4,2
29,1,4,3,3,2
33,1,4,2,4,2
26,1,4,3,4,2
33,1,4,4,5,4
33,1,5,5,5,4
35,1,5,5,5,4
18,1,5,3,5,0
24,1,5,3,4,0
26,1,5,4,3,0
23,1,1,3,4,2
20,1,4,2,3,2
27,1,5,3,3,0
27,0,5,4,4,1
20,1,5,3,3,0
36,1,5,5,5,4
39,1,2,1,3,2
31,1,4,4,4,0
25,1,5,5,5,4
35,1,5,4,5,4
19,1,5,4,4,0
29,1,5,4,4,0
31,1,5,5,5,4
27,1,3,2,3,2
26,1,5,4,5,4
15,1,5,5,4,4
26,1,4,4,5,4
16,1,5,4,4,0
28,1,5,5,5,4
36,1,4,4,5,3
28,1,5,4,4,0
26,1,5,5,5,4
26,1,5,5,5,4
22,1,5,4,4,0
46,1,5,3,4,3
27,1,5,5,5,4
23,1,5,3,4,0
30,1,5,4,4,0
24,1,5,4,4,0
37,1,5,5,5,4
40,1,5,4,3,0
14,1,4,2,4,2
28,1,5,5,4,4
33,1,5,5,3,0
23,1,5,4,4,0
27,1,5,3,5,0
22,1,5,3,5,0
28,1,5,4,4,0
38,1,5,5,5,4
19,1,5,3,3,0
29,1,4,1,2,2
34,1,5,5,5,4
31,1,5,4,5,4
32,1,5,5,5,4
50,1,4,4,4,3
21,1,4,4,4,0
13,1,5,3,4,0
26,1,5,4,5,4
23,1,5,4,5,4
23,1,5,2,4,0
33,1,5,4,4,0
21,1,5,5,4,4
29,1,5,4,4,0
30,1,5,5,5,4
38,0,5,5,5,1
33,1,4,4,4,0
31,1,5,4,4,0
33,1,5,5,5,4
36,1,3,3,3,2
32,1,5,4,3,0
44,1,5,5,5,3
25,1,5,5,5,4
26,0,5,4,4,1
18,1,5,4,5,4
32,1,5,5,5,4
26,1,5,4,4,0
27,0,5,5,5,1
31,1,5,2,5,0
14,1,5,2,4,0
14,0,5,4,4,1
22,1,5,3,4,0
25,1,5,4,4,0
31,1,5,4,5,4
16,1,4,3,2,2
30,1,4,4,4,0
23,1,4,5,5,4
18,1,5,3,4,0
26,1,5,5,5,4
24,1,5,4,5,4
29,1,5,3,4,0
18,1,2,1,3,2
30,0,4,4,4,1
34,1,4,3,3,2
21,1,5,4,4,0
28,1,4,4,4,0
29,1,5,4,4,0
23,1,4,4,4,0
25,0,4,4,4,1
22,1,5,4,4,0
26,1,5,4,4,0
63,1,5,5,5,3
32,1,5,4,4,0
20,1,5,5,4,4
26,0,5,4,5,1
30,1,5,4,4,0
24,1,5,5,5,4
15,1,5,4,5,4
49,1,5,5,5,3
15,1,4,3,3,2
28,1,5,5,5,4
18,0,5,4,4,1
33,1,5,4,4,0
18,1,5,4,4,0
26,1,5,3,3,0
31,1,4,2,4,2
23,1,4,2,2,2
23,1,5,4,4,0
17,1,5,4,5,4
22,1,5,4,4,0
25,1,5,5,5,4
32,1,5,4,4,0
17,0,2,1,2,2
20,1,5,5,5,4
26,1,5,4,4,0
32,1,5,4,4,0
38,1,4,4,3,0
30,0,5,4,4,1
20,1,5,3,4,0
37,1,5,2,4,0
26,1,5,3,3,0
30,1,3,3,3,2
31,1,5,4,5,4
21,1,5,5,4,4
33,1,5,5,4,4
15,1,5,4,5,4
20,0,5,5,4,1
28,1,5,5,5,4
25,1,4,3,4,2
41,1,5,5,4,3
48,1,5,4,3,3
29,0,5,4,4,1
28,1,5,4,5,4
19,1,5,3,3,0
21,1,4,4,4,0
24,1,4,2,2,2
22,1,5,4,4,0
36,1,5,5,5,4
33,1,5,3,5,0
23,1,5,3,3,0
25,1,5,5,5,4
37,1,5,5,5,4
25,1,5,4,3,0
21,1,5,5,4,4
22,1,5,5,5,4
25,1,5,3,2,0
28,0,5,4,4,1
24,1,4,4,4,0
25,1,5,4,4,0
21,1,5,4,3,0
29,1,4,4,4,0
19,1,5,5,5,4
34,1,5,4,4,0
28,0,5,4,4,1
39,1,5,5,4,3
30,1,5,3,4,0
27,1,5,5,5,4
31,1,5,5,5,4
21,1,5,5,5,4
21,1,5,4,4,0
38,1,5,4,4,3
29,1,3,3,3,2
30,1,4,3,3,2
28,1,4,3,4,2
19,1,5,4,4,0
26,1,3,5,5,4
21,1,4,2,1,2
26,1,5,4,5,4
24,1,5,4,4,0
35,1,5,3,4,0
28,1,4,4,3,0
21,1,5,3,5,0
20,1,5,4,4,0
37,1,5,3,4,0
25,0,5,5,5,1
66,0,5,5,5,1
31,1,2,2,4,2
21,1,5,4,4,0
29,1,4,3,4,2
27,1,5,4,4,0
14,1,2,3,5,2
25,1,5,4,4,0
21,1,5,5,5,4
37,1,5,4,5,4
31,1,5,3,4,0
30,0,5,5,5,1
26,1,5,4,5,4
27,1,4,4,4,0
31,1,4,4,5,4
39,1,4,4,4,3
17,1,5,4,5,4
37,1,4,3,4,2
17,1,4,3,4,2
26,1,4,4,4,0
21,1,5,4,3,0
29,1,5,4,4,0
17,1,5,5,4,4
